id,text,emotion,compound,intensity
72,బైక్‌కు పెట్రోల్ నింపాను.,normal,0.68,2
448,"చేయాల్సిన పనులు చాలా ఉన్నాయి, కానీ టైమ్ లేదు.",stress,-0.67,9
747,"నేను విసుగు చెందడానికి నా తలలో సమస్యలను ఎందుకు సృష్టిస్తాను?నేను ఈ అహేతుకతను కలిగి ఉన్నాను, ఇప్పుడు ఒకటిన్నర సంవత్సరాలుగా చర్మ క్యాన్సర్ భయం కంటే ఎక్కువగా ఉంది.నేను ఎప్పుడూ కలిగి ఉండే చిన్న చిన్న మచ్చల నుండి పెద్ద పుట్టుమచ్చల వరకు అనేక పుట్టుమచ్చలను కలిగి ఉన్నాను, వాటి గురించి నేను మతిస్థిమితం కలిగి ఉన్నాను.నేను విచిత్రంగా ఉండటానికి మోల్ #8లో ఉన్నాను.ఇందులో భాగమేమిటంటే, నాకు ఇప్పటికీ చిన్న పుట్టుమచ్చ/పులిమచ్చ (నా వయసు 23) వస్తుంది మరియు ఇది సాధారణమని నా చర్మం నాకు చెప్పినప్పటికీ, కొత్తదాన్ని పొందడం గురించి నాకు చాలా మతిస్థిమితం లేదు.నేను నా వార్షికోత్సవం కోసం సుమారు 3 వారాల క్రితం నా డెర్మ్‌కి వెళ్లాను, నా భుజంపై ఒక మచ్చ ఉంది, నేను బ్లాక్ హెడ్‌గా ఉన్నాను, ఆమె నా ఇతర పుట్టుమచ్చలన్నింటినీ తనిఖీ చేసి, అన్నీ బాగున్నాయని చెప్పింది.ఇప్పుడు, నేను అహేతుకంగా నా మనస్సును కోల్పోతున్న మరో రెండు ప్రదేశాలలో ఉన్నాను.నేను ఈ రోజు నుండి ఒక వారం నా థెరపిస్ట్‌ని చూడబోతున్నాను కాబట్టి ఇది సహాయపడుతుందని ఆశిస్తున్నాను.నేను ఇకపై దీనితో వ్యవహరించాలనుకోవడం లేదు.నేను ప్రతిదానికీ భయపడుతున్నాను.",anxiety,-0.92,10
374,"నేను మారిపోయాను, కానీ ఎలా అనేది తెలియదు.",depression,-0.91,10
497,పని భారంతో రోజులు చాలా కఠినంగా మారాయి.,stress,-0.15,6
640,"స్కార్లెట్ ఫీవర్ హే అబ్బాయిలు, నేను 20 ఏళ్ల పురుషుడిని.నాకు ఆదివారం నాడు మేల్కొన్నప్పుడు కొంచెం గొంతు నొప్పిగా ఉంది, కానీ చాలా తీవ్రంగా ఏమీ ఆలోచించలేదు, నేను మంచానికి కూర్చున్నప్పుడు నా ఛాతీపై కొంచెం దద్దుర్లు గమనించాను, అది నన్ను వెంటనే భయాందోళనకు గురి చేసింది.సోమవారం వరకు వేగంగా ముందుకు వెళ్లండి మరియు నాకు రాత్రుళ్లు పూర్తిగా దద్దుర్లు మరియు చలి ఎక్కువ అవుతోంది మరియు పగటిపూట నేను మందులు తీసుకోనప్పుడు, నాలో ఏదో తీవ్రమైన సమస్య ఉందని నేను చాలా ఆందోళన చెందాను కాబట్టి ఈ రోజు డాక్టర్‌తో అపాయింట్‌మెంట్ నిర్వహించాను.నేను లోపలికి వెళ్ళాను మరియు డాక్టర్ నాకు కొన్ని పరీక్షలు (నా గొంతు / నాలుక, చెవులు, ఛాతీ, వీపు మరియు నా రక్తపోటును తనిఖీ చేసారు) ఆపై నాకు ""ఈ విషయం చెప్పడానికి నన్ను క్షమించండి, కానీ మీకు స్కార్లెట్ ఫీవర్ ఉందని నేను భయపడుతున్నాను"" అని నాకు చెప్పారు.సాధారణంగా పిల్లలు మాత్రమే నా అవగాహనను పొందుతారు.మళ్ళీ డాక్టర్ ని అడిగాను, స్కార్లెట్ ఫీవర్ అని కాన్ఫిడెంట్ గా చెప్పింది.నేను ఇప్పుడు 10 రోజులుగా యాంటీబయాటిక్స్ సెట్‌లో ఉన్నాను మరియు రాబోయే రెండు రోజుల్లో ఇది మరింత మెరుగుపడుతుందని ఆశిస్తున్నాను.... మరెవరైనా ఎప్పుడైనా ఎదుర్కొన్నారా?మరియు నేను నా వైద్యుల అభిప్రాయాన్ని విశ్వసించాలని మీరు అనుకుంటున్నారా, ఇది ఏదైనా అధ్వాన్నంగా ఉంటుందనే భయం నాకు ఎప్పుడూ ఉంటుంది.
ధన్యవాదాలు",anxiety,-0.44,7
310,నవ్వు కూడా నన్ను చేరడం లేదు.,depression,-0.58,8
665,"పెద్దప్రేగు క్యాన్సర్ గురించి మళ్లీ ఆందోళన చెందారు.అయ్యో.హాయ్,

కాబట్టి నేను ఈ సబ్‌కి కొంతకాలం దూరంగా ఉన్నాను, నన్ను నేను పరిష్కరించుకోవడానికి ప్రయత్నిస్తున్నాను.నాకు 2017/2018 ప్రారంభంలో పెద్దపేగు క్యాన్సర్ భయం ఏర్పడింది, ఇది వైద్యుల వద్ద అనేక పరీక్షల తర్వాత తగ్గింది.అయితే, నేను ఇటీవల మళ్లీ చింతించడం ప్రారంభించాను - నేను రోజుకు 3 సార్లు టాయిలెట్‌ని ఉపయోగిస్తాను.వెళ్ళడానికి అత్యవసరం.కొన్నిసార్లు చదునైన బల్లలు ఉంటాయి - ఇది పెద్దప్రేగు క్యాన్సర్ అని భయపడి, నేను 18+ నెలల పాటు కలిగి ఉన్నాను :/",anxiety,-0.98,10
513,శరీరం అలసినట్టుంది కానీ మనసు మాత్రం పరుగులు పెడుతోంది.,stress,-0.46,8
450,చిన్న పిలుపుకే చిరాగ్గా స్పందిస్తున్నాను.,stress,-0.5,8
